ID;dart;x;y;z
99;791;0.5625;0.216506;-0.974279;
100;799;0.5;0.25;-0.866025;
101;807;0.4375;0.216506;-0.757772;
102;815;0.391747;0.125;-0.678525;
103;823;0.375;0;-0.649519;
104;831;0.391747;-0.125;-0.678525;
105;839;0.4375;-0.216506;-0.757772;
106;847;0.5;-0.25;-0.866025;
107;855;0.5625;-0.216506;-0.974279;
108;863;0.608253;-0.125;-1.05352;
109;958;0.478355;0;-1.15485;
110;879;0.465537;0.125;-1.1239;
111;887;0.430519;0.216506;-1.03936;
112;895;0.382684;0.25;-0.923879;
113;903;0.334848;0.216506;-0.808394;
114;911;0.29983;0.125;-0.723854;
115;919;0.287013;0;-0.69291;
116;927;0.29983;-0.125;-0.723854;
117;935;0.334848;-0.216506;-0.808394;
118;943;0.382684;-0.25;-0.923879;
119;951;0.430519;-0.216506;-1.03936;
120;959;0.465537;-0.125;-1.1239;
121;1054;0.323524;0;-1.20741;
122;975;0.314855;0.125;-1.17506;
123;983;0.291171;0.216506;-1.08667;
124;991;0.258819;0.25;-0.965926;
125;999;0.226467;0.216506;-0.845185;
126;1007;0.202783;0.125;-0.756797;
127;1015;0.194114;0;-0.724444;
128;1023;0.202783;-0.125;-0.756797;
129;1031;0.226467;-0.216506;-0.845185;
130;1039;0.258819;-0.25;-0.965926;
131;1047;0.291171;-0.216506;-1.08667;
132;1055;0.314855;-0.125;-1.17506;
133;1150;0.163158;0;-1.23931;
134;1071;0.158786;0.125;-1.2061;
135;1079;0.146842;0.216506;-1.11538;
136;1087;0.130526;0.25;-0.991445;
137;1095;0.11421;0.216506;-0.867514;
138;1103;0.102266;0.125;-0.776791;
139;1111;0.097895;0;-0.743584;
140;1119;0.102266;-0.125;-0.776791;
141;1127;0.11421;-0.216506;-0.867514;
142;1135;0.130526;-0.25;-0.991445;
143;1143;0.146842;-0.216506;-1.11538;
144;1151;0.158786;-0.125;-1.2061;
145;1246;0;0;-1.25;
146;1167;0;0.125;-1.21651;
147;1175;0;0.216506;-1.125;
148;1183;0;0.25;-1;
149;1191;0;0.216506;-0.875;
150;1199;0;0.125;-0.783494;
151;1207;0;0;-0.75;
152;1215;0;-0.125;-0.783494;
153;1223;0;-0.216506;-0.875;
154;1231;0;-0.25;-1;
155;1239;0;-0.216506;-1.125;
156;1247;0;-0.125;-1.21651;
157;1342;-0.163158;0;-1.23931;
158;1263;-0.158786;0.125;-1.2061;
159;1271;-0.146842;0.216506;-1.11538;
160;1279;-0.130526;0.25;-0.991445;
161;1287;-0.114211;0.216506;-0.867514;
162;1295;-0.102267;0.125;-0.776791;
163;1303;-0.097895;0;-0.743584;
164;1311;-0.102267;-0.125;-0.776791;
165;1319;-0.114211;-0.216506;-0.867514;
166;1327;-0.130526;-0.25;-0.991445;
167;1335;-0.146842;-0.216506;-1.11538;
168;1343;-0.158786;-0.125;-1.2061;
169;1438;-0.323524;0;-1.20741;
170;1359;-0.314855;0.125;-1.17506;
171;1367;-0.291171;0.216506;-1.08667;
172;1375;-0.258819;0.25;-0.965926;
173;1383;-0.226467;0.216506;-0.845185;
174;1391;-0.202783;0.125;-0.756797;
175;1399;-0.194114;0;-0.724444;
176;1407;-0.202783;-0.125;-0.756797;
177;1415;-0.226467;-0.216506;-0.845185;
178;1423;-0.258819;-0.25;-0.965926;
179;1431;-0.291171;-0.216506;-1.08667;
180;1439;-0.314855;-0.125;-1.17506;
181;1534;-0.478354;0;-1.15485;
182;1455;-0.465537;0.125;-1.1239;
183;1463;-0.430519;0.216506;-1.03936;
184;1471;-0.382684;0.25;-0.92388;
185;1479;-0.334848;0.216506;-0.808395;
186;1487;-0.29983;0.125;-0.723854;
187;1495;-0.287013;0;-0.69291;
188;1503;-0.29983;-0.125;-0.723854;
189;1511;-0.334848;-0.216506;-0.808395;
190;1519;-0.382684;-0.25;-0.92388;
191;1527;-0.430519;-0.216506;-1.03936;
192;1535;-0.465537;-0.125;-1.1239;
193;1630;-0.625;0;-1.08253;
194;1551;-0.608253;0.125;-1.05353;
195;1559;-0.5625;0.216506;-0.974279;
196;1567;-0.5;0.25;-0.866026;
197;1575;-0.4375;0.216506;-0.757772;
198;1583;-0.391747;0.125;-0.678525;
199;1591;-0.375;0;-0.649519;
200;1599;-0.391747;-0.125;-0.678525;
201;1607;-0.4375;-0.216506;-0.757772;
202;1615;-0.5;-0.25;-0.866026;
203;1623;-0.5625;-0.216506;-0.974279;
204;1631;-0.608253;-0.125;-1.05353;
205;1726;-0.760952;0;-0.991692;
206;1647;-0.740562;0.125;-0.965119;
207;1655;-0.684857;0.216506;-0.892522;
208;1663;-0.608761;0.25;-0.793353;
209;1671;-0.532666;0.216506;-0.694184;
210;1679;-0.476961;0.125;-0.621587;
211;1687;-0.456571;0;-0.595015;
212;1695;-0.476961;-0.125;-0.621587;
213;1703;-0.532666;-0.216506;-0.694184;
214;1711;-0.608761;-0.25;-0.793353;
215;1719;-0.684857;-0.216506;-0.892522;
216;1727;-0.740562;-0.125;-0.965119;
217;1822;-0.883884;0;-0.883883;
218;1743;-0.8602;0.125;-0.8602;
219;1751;-0.795495;0.216506;-0.795495;
220;1759;-0.707107;0.25;-0.707107;
221;1767;-0.618719;0.216506;-0.618718;
222;1775;-0.554014;0.125;-0.554013;
223;1783;-0.53033;0;-0.53033;
224;1791;-0.554014;-0.125;-0.554013;
225;1799;-0.618719;-0.216506;-0.618718;
226;1807;-0.707107;-0.25;-0.707107;
227;1815;-0.795495;-0.216506;-0.795495;
228;1823;-0.8602;-0.125;-0.8602;
229;1918;-0.991692;0;-0.760952;
230;1839;-0.965119;0.125;-0.740562;
231;1847;-0.892522;0.216506;-0.684857;
232;1855;-0.793353;0.25;-0.608761;
233;1863;-0.694184;0.216506;-0.532666;
234;1871;-0.621587;0.125;-0.476961;
235;1879;-0.595015;0;-0.456571;
236;1887;-0.621587;-0.125;-0.476961;
237;1895;-0.694184;-0.216506;-0.532666;
238;1903;-0.793353;-0.25;-0.608761;
239;1911;-0.892522;-0.216506;-0.684857;
240;1919;-0.965119;-0.125;-0.740562;
241;2014;-1.08253;0;-0.625;
242;1935;-1.05352;0.125;-0.608253;
243;1943;-0.974278;0.216506;-0.5625;
244;1951;-0.866025;0.25;-0.5;
