ID;dart
754;2968;
755;3070;
756;3068;
757;3078;
758;2984;
759;3086;
760;2992;
761;3094;
762;3000;
763;3102;
764;3008;
765;3110;
766;3016;
767;3118;
768;3024;
769;3126;
770;3032;
771;3134;
772;3040;
773;3142;
774;3048;
775;3150;
776;3056;
777;3158;
778;3064;
779;3166;
780;3164;
781;3174;
782;3080;
783;3182;
784;3088;
785;3190;
786;3096;
787;3198;
788;3104;
789;3206;
790;3112;
791;3214;
792;3120;
793;3222;
794;3128;
795;3230;
796;3136;
797;3238;
798;3144;
799;3246;
800;3152;
801;3254;
802;3160;
803;3262;
804;3260;
805;3270;
806;3176;
807;3278;
808;3184;
809;3286;
810;3192;
811;3294;
812;3200;
813;3302;
814;3208;
815;3310;
816;3216;
817;3318;
818;3224;
819;3326;
820;3232;
821;3334;
822;3240;
823;3342;
824;3248;
825;3350;
826;3256;
827;3358;
828;3356;
829;3366;
830;3272;
831;3374;
832;3280;
833;3382;
834;3288;
835;3390;
836;3296;
837;3398;
838;3304;
839;3406;
840;3312;
841;3414;
842;3320;
843;3422;
844;3328;
845;3430;
846;3336;
847;3438;
848;3344;
849;3446;
850;3352;
851;3454;
852;3452;
853;3462;
854;3368;
855;3470;
856;3376;
857;3478;
858;3384;
859;3486;
860;3392;
861;3494;
862;3400;
863;3502;
864;3408;
865;3510;
866;3416;
867;3518;
868;3424;
869;3526;
870;3432;
871;3534;
872;3440;
873;3542;
874;3448;
875;3550;
876;3548;
877;3558;
878;3464;
879;3566;
880;3472;
881;3574;
882;3480;
883;3582;
884;3488;
885;3590;
886;3496;
887;3598;
888;3504;
889;3606;
890;3512;
891;3614;
892;3520;
893;3622;
894;3528;
895;3630;
896;3536;
897;3638;
898;3544;
899;3646;
900;3644;
901;3654;
902;3560;
903;3662;
904;3568;
905;3670;
906;3576;
907;3678;
908;3584;
909;3686;
910;3592;
911;3694;
912;3600;
913;3702;
914;3608;
915;3710;
916;3616;
917;3718;
918;3624;
919;3726;
920;3632;
921;3734;
922;3640;
923;3742;
924;3740;
925;3750;
926;3656;
927;3758;
928;3664;
929;3766;
930;3672;
931;3774;
932;3680;
933;3782;
934;3688;
935;3790;
936;3696;
937;3798;
938;3704;
939;3806;
940;3712;
941;3814;
942;3720;
943;3822;
944;3728;
945;3830;
946;3736;
947;3838;
948;3836;
949;3846;
950;3752;
951;3854;
952;3760;
953;3862;
954;3768;
955;3870;
956;3776;
957;3878;
958;3784;
959;3886;
960;3792;
961;3894;
962;3800;
963;3902;
964;3808;
965;3910;
966;3816;
967;3918;
968;3824;
969;3926;
970;3832;
971;3934;
972;3932;
973;3942;
974;3848;
975;3950;
976;3856;
977;3958;
978;3864;
979;3966;
980;3872;
981;3974;
982;3880;
983;3982;
984;3888;
985;3990;
986;3896;
987;3998;
988;3904;
989;4006;
990;3912;
991;4014;
992;3920;
993;4022;
994;3928;
995;4030;
996;4028;
997;4038;
998;3944;
999;4046;
1000;3952;
1001;4054;
1002;3960;
1003;4062;
1004;3968;
1005;4070;
1006;3976;
1007;4078;
1008;3984;
1009;4086;
1010;3992;
1011;4094;
1012;4000;
1013;4102;
1014;4008;
1015;4110;
1016;4016;
1017;4118;
1018;4024;
1019;4126;
1020;4124;
1021;4134;
1022;4040;
1023;4142;
1024;4048;
1025;4150;
1026;4056;
1027;4158;
1028;4064;
1029;4166;
1030;4072;
1031;4174;
1032;4080;
1033;4182;
1034;4088;
1035;4190;
1036;4096;
1037;4198;
1038;4104;
1039;4206;
1040;4112;
1041;4214;
1042;4120;
1043;4222;
1044;4220;
1045;4230;
1046;4136;
1047;4238;
1048;4144;
1049;4246;
1050;4152;
1051;4254;
1052;4160;
1053;4262;
1054;4168;
1055;4270;
1056;4176;
1057;4278;
1058;4184;
1059;4286;
1060;4192;
1061;4294;
1062;4200;
1063;4302;
1064;4208;
1065;4310;
1066;4216;
1067;4318;
1068;4316;
1069;4326;
1070;4232;
1071;4334;
1072;4240;
1073;4342;
1074;4248;
1075;4350;
1076;4256;
1077;4358;
1078;4264;
1079;4366;
1080;4272;
1081;4374;
1082;4280;
1083;4382;
1084;4288;
1085;4390;
1086;4296;
1087;4398;
1088;4304;
1089;4406;
1090;4312;
1091;4414;
1092;4412;
1093;4422;
1094;4328;
1095;4430;
1096;4336;
1097;4438;
1098;4344;
1099;4446;
1100;4352;
1101;4454;
1102;4360;
1103;4462;
1104;4368;
1105;4470;
1106;4376;
1107;4478;
1108;4384;
1109;4486;
1110;4392;
1111;4494;
1112;4400;
1113;4502;
1114;4408;
1115;4510;
1116;4508;
1117;4518;
1118;4424;
1119;4526;
1120;4432;
1121;4534;
1122;4440;
1123;4542;
1124;4448;
1125;4550;
1126;4456;
1127;4558;
1128;4464;
1129;4566;
1130;4472;
1131;4574;
1132;4480;
1133;4582;
1134;4488;
1135;4590;
1136;4496;
1137;4598;
1138;4504;
1139;4606;
1140;4604;
1141;4520;
1142;4528;
1143;4536;
1144;4544;
1145;4552;
1146;4560;
1147;4568;
1148;4576;
1149;4584;
1150;4592;
1151;4600;
